_id,location_name,address,year,year_stage,suspected_non_fatal_overdoses
1292,St. Simon's,525 Bloor St E,2018,Q3,< 5
1293,St. Simon's,525 Bloor St E,2018,Q4,0
1294,St. Simon's,525 Bloor St E,2019,Q1,NA
1295,St. Simon's,525 Bloor St E,2019,Q2,< 5
1296,St. Simon's,525 Bloor St E,2019,Q3,< 5
1297,St. Simon's,525 Bloor St E,2019,Q4,< 5
1298,St. Simon's,525 Bloor St E,2020,Q1,NA
1299,St. Simon's,525 Bloor St E,2020,Q2,0
1300,St. Simon's,525 Bloor St E,2020,Q3,NA
1301,St. Simon's,525 Bloor St E,2020,Q4,NA
1302,St. Simon's Clubbe House,556 Sherbourne St,2021,Q1,0
1303,St. Simon's Clubbe House,556 Sherbourne St,2021,Q2,< 5
1304,St. Simon's Clubbe House,556 Sherbourne St,2021,Q3,0
1305,St. Simon's Clubbe House,556 Sherbourne St,2021,Q4,0
1306,Street Haven   ,87 Pembroke St,2018,Q1,< 5
1307,Street Haven   ,87 Pembroke St,2018,Q2,NA
1308,Street Haven   ,87 Pembroke St,2018,Q3,< 5
1309,Street Haven   ,87 Pembroke St,2018,Q4,NA
1310,Street Haven   ,87 Pembroke St,2020,Q1,< 5
1311,Street Haven   ,87 Pembroke St,2020,Q2,NA
1312,Street Haven   ,87 Pembroke St,2020,Q3,NA
1313,Street Haven   ,87 Pembroke St,2020,Q4,< 5
1314,Street Haven   ,87 Pembroke St,2021,Q1,0
1315,Street Haven   ,87 Pembroke St,2021,Q2,< 5
1316,Street Haven   ,87 Pembroke St,2021,Q3,0
1317,Street Haven   ,87 Pembroke St,2021,Q4,0
1318,Street Haven   ,87 Pembroke St,2023,Q1,< 5
1319,Street Haven   ,87 Pembroke St,2023,Q2,< 5
1320,Street Haven   ,87 Pembroke St,2023,Q3,0
1321,Street Haven   ,87 Pembroke St,2023,Q4,0
1322,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q1,NA
1323,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q2,NA
1324,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q3,< 5
1325,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q4,NA
1326,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q1,NA
1327,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q2,NA
1328,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q3,NA
1329,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q4,< 5
1330,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q1,< 5
1331,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q2,< 5
1332,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q3,6
1333,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q4,5
1334,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q1,< 5
1335,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q2,6
1336,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q3,< 5
1337,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q4,5
1338,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q1,< 5
1339,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q2,< 5
1340,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q3,< 5
1341,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q4,< 5
1342,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q1,11
1343,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q2,7
1344,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q3,< 5
1345,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q4,5
1346,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2022,Q1,9
1347,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2022,Q2,< 5
1348,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2022,Q3,< 5
1349,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2022,Q4,< 5
1350,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2023,Q1,7
1351,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2023,Q2,10
1352,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2023,Q3,8
1353,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2023,Q4,8
1354,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2024,Q1,< 5
1355,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2024,Q2,6
1356,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2024,Q3,< 5
1357,SVDP Elisa House,60 Newcastle St,2021,Q1,NA
1358,SVDP Elisa House,60 Newcastle St,2021,Q2,NA
1359,SVDP Elisa House,60 Newcastle St,2021,Q3,< 5
1360,SVDP Elisa House,60 Newcastle St,2021,Q4,0
1361,SVDP Mary's Home,70 Gerrard St E,2021,Q1,< 5
1362,SVDP Mary's Home,70 Gerrard St E,2021,Q2,0
1363,SVDP Mary's Home,70 Gerrard St E,2021,Q3,0
1364,SVDP Mary's Home,70 Gerrard St E,2021,Q4,0
1365,SVDP Mary's Home,70 Gerrard St E,2022,Q1,< 5
1366,SVDP Mary's Home,70 Gerrard St E,2022,Q2,0
1367,SVDP Mary's Home,70 Gerrard St E,2022,Q3,0
1368,SVDP Mary's Home,70 Gerrard St E,2022,Q4,0
1369,Trinity CRC,155 Crawford St,2020,Q1,NA
1370,Trinity CRC,155 Crawford St,2020,Q2,< 5
1371,Trinity CRC,155 Crawford St,2020,Q3,NA
1372,Trinity CRC,155 Crawford St,2020,Q4,NA
1373,Trinity CRC,155 Crawford St,2021,Q1,0
1374,Trinity CRC,155 Crawford St,2021,Q2,< 5
1375,Turning Point Youth Services,95 Wellesley St E,2018,Q1,< 5
1376,Turning Point Youth Services,95 Wellesley St E,2018,Q2,< 5
1377,Turning Point Youth Services,95 Wellesley St E,2018,Q3,NA
1378,Turning Point Youth Services,95 Wellesley St E,2018,Q4,NA
1379,Turning Point Youth Services,95 Wellesley St E,2019,Q1,< 5
1380,Turning Point Youth Services,95 Wellesley St E,2019,Q2,< 5
1381,Turning Point Youth Services,95 Wellesley St E,2019,Q3,NA
1382,Turning Point Youth Services,95 Wellesley St E,2019,Q4,< 5
1383,Turning Point Youth Services,95 Wellesley St E,2020,Q1,< 5
1384,Turning Point Youth Services,95 Wellesley St E,2020,Q2,NA
1385,Turning Point Youth Services,95 Wellesley St E,2020,Q3,NA
1386,Turning Point Youth Services,95 Wellesley St E,2020,Q4,NA
1387,Turning Point Youth Services,95 Wellesley St E,2021,Q1,0
1388,Turning Point Youth Services,95 Wellesley St E,2021,Q2,< 5
1389,Turning Point Youth Services,95 Wellesley St E,2021,Q3,< 5
1390,Turning Point Youth Services,95 Wellesley St E,2021,Q4,0
1391,Turning Point Youth Services,95 Wellesley St E,2022,Q1,< 5
1392,Turning Point Youth Services,95 Wellesley St E,2022,Q2,0
1393,Turning Point Youth Services,95 Wellesley St E,2022,Q3,< 5
1394,Turning Point Youth Services,95 Wellesley St E,2022,Q4,0
1395,Turning Point Youth Services,95 Wellesley St E,2023,Q1,NA
1396,Turning Point Youth Services,95 Wellesley St E,2023,Q2,< 5
1397,Turning Point Youth Services,95 Wellesley St E,2023,Q3,0
1398,Turning Point Youth Services,95 Wellesley St E,2023,Q4,< 5
1399,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q2,0
1400,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q3,0
1401,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q4,< 5
1402,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2023,Q1,< 5
1403,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2023,Q2,0
1404,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2023,Q3,0
1405,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2023,Q4,0
1406,Warden Hilltop CC,25 Mendelssohn St,2020,Q1,NA
1407,Warden Hilltop CC,25 Mendelssohn St,2020,Q2,< 5
1408,Warden Hilltop CC,25 Mendelssohn St,2020,Q3,NA
1409,Warden Hilltop CC,25 Mendelssohn St,2020,Q4,NA
1410,Warden Hilltop CC,25 Mendelssohn St,2022,Q1,21
1411,Warden Hilltop CC,25 Mendelssohn St,2022,Q2,NA
1412,Warden Hilltop CC,25 Mendelssohn St,2022,Q3,NA
1413,Warden Hilltop CC,25 Mendelssohn St,2022,Q4,NA
1414,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q1,NA
1415,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q2,< 5
1416,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q3,NA
1417,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q4,< 5
1418,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q1,NA
1419,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q2,< 5
1420,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q3,NA
1421,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q4,NA
1422,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q1,0
1423,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q2,< 5
1424,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q3,< 5
1425,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q4,< 5
1426,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2022,Q1,0
1427,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2022,Q2,< 5
1428,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2022,Q3,< 5
1429,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2022,Q4,6
1430,Progress Avenue Shelter,705 Progress Ave,2023,Q1,8
1431,Progress Avenue Shelter,705 Progress Ave,2023,Q2,5
1432,Progress Avenue Shelter,705 Progress Ave,2023,Q3,< 5
1433,Progress Avenue Shelter,705 Progress Ave,2023,Q4,0
1434,YMCA House,7 Vanauley St,2020,Q1,NA
1435,YMCA House,7 Vanauley St,2020,Q2,NA
1436,YMCA House,7 Vanauley St,2020,Q3,< 5
1437,YMCA House,7 Vanauley St,2020,Q4,< 5
1438,YMCA House,7 Vanauley St,2021,Q1,< 5
1439,YMCA Sprott House ,21 Walmer Rd,2019,Q1,NA
1440,YMCA Sprott House ,21 Walmer Rd,2019,Q2,< 5
1441,YMCA Sprott House ,21 Walmer Rd,2019,Q3,NA
1442,YMCA Sprott House ,21 Walmer Rd,2019,Q4,NA
1443,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q1,NA
1444,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q2,NA
1445,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q3,NA
1446,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q4,< 5
1447,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q1,NA
1448,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q2,NA
1449,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q3,17
1450,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q4,23
1451,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q1,21
1452,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q2,6
1453,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q3,17
1454,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q4,17
1455,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2022,Q1,12
1456,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2022,Q2,14
1457,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2022,Q3,8
1458,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2022,Q4,14
1459,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2023,Q1,17
1460,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2023,Q2,14
1461,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2023,Q3,33
1462,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2023,Q4,26
1463,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2024,Q1,13
1464,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2024,Q2,26
1465,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,2024,Q3,5
1466,Youth Without Shelter,6 Warrendale Ct,2018,Q1,NA
1467,Youth Without Shelter,6 Warrendale Ct,2018,Q2,NA
1468,Youth Without Shelter,6 Warrendale Ct,2018,Q3,< 5
1469,Youth Without Shelter,6 Warrendale Ct,2018,Q4,NA
1470,Youth Without Shelter,6 Warrendale Ct,2021,Q1,0
1471,Youth Without Shelter,6 Warrendale Ct,2021,Q2,< 5
1472,Youth Without Shelter,6 Warrendale Ct,2021,Q3,0
1473,Youth Without Shelter,6 Warrendale Ct,2021,Q4,0
1474,YouthLink ,747 Warden Ave,2020,Q1,NA
1475,YouthLink ,747 Warden Ave,2020,Q2,NA
1476,YouthLink ,747 Warden Ave,2020,Q3,< 5
1477,YouthLink ,747 Warden Ave,2020,Q4,< 5
1478,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q1,< 5
1479,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q2,NA
1480,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q3,NA
1481,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q4,NA
1482,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q1,NA
1483,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q2,NA
1484,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q3,0
1485,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q4,NA
1486,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q1,< 5
1487,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q2,0
1488,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q3,0
1489,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q4,< 5
1490,YWCA Davenport Shelter,348 Davenport Rd,2018,Q1,< 5
1491,YWCA Davenport Shelter,348 Davenport Rd,2018,Q2,< 5
1492,YWCA Davenport Shelter,348 Davenport Rd,2018,Q3,NA
1493,YWCA Davenport Shelter,348 Davenport Rd,2018,Q4,NA
1494,YWCA Davenport Shelter,348 Davenport Rd,2019,Q1,< 5
1495,YWCA Davenport Shelter,348 Davenport Rd,2019,Q2,< 5
1496,YWCA Davenport Shelter,348 Davenport Rd,2019,Q3,NA
1497,YWCA Davenport Shelter,348 Davenport Rd,2019,Q4,NA
1498,YWCA Davenport Shelter,348 Davenport Rd,2020,Q1,< 5
1499,YWCA Davenport Shelter,348 Davenport Rd,2020,Q2,< 5
1500,YWCA Davenport Shelter,348 Davenport Rd,2020,Q3,NA
1501,YWCA Davenport Shelter,348 Davenport Rd,2020,Q4,NA
1502,YWCA Davenport Shelter,348 Davenport Rd,2022,Q1,0
1503,YWCA Davenport Shelter,348 Davenport Rd,2022,Q2,0
1504,YWCA Davenport Shelter,348 Davenport Rd,2022,Q3,0
1505,YWCA Davenport Shelter,348 Davenport Rd,2022,Q4,< 5
1506,YWCA Davenport Shelter,348 Davenport Rd,2023,Q1,< 5
1507,YWCA Davenport Shelter,348 Davenport Rd,2023,Q2,0
1508,YWCA Davenport Shelter,348 Davenport Rd,2023,Q3,< 5
1509,YWCA Davenport Shelter,348 Davenport Rd,2023,Q4,0
1510,YWCA East End Hotel Program,1684 Queen St E,2020,Q1,NA
1511,YWCA East End Hotel Program,1684 Queen St E,2020,Q2,< 5
1512,YWCA East End Hotel Program,1684 Queen St E,2020,Q3,NA
1513,YWCA East End Hotel Program,1684 Queen St E,2020,Q4,< 5
1514,YWCA East End Hotel Program,1684 Queen St E,2021,Q1,0
1515,YWCA East End Hotel Program,1684 Queen St E,2021,Q2,< 5
1516,YWCA East End Hotel Program,1684 Queen St E,2021,Q3,< 5
1517,YWCA East End Hotel Program,1684 Queen St E,2021,Q4,< 5
